Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,337,118,4,4.5,4.5,9.65,1,Muy alta
2,324,107,4,4,4.5,8.87,1,Alta
3,316,104,3,3,3.5,8,1,Media
4,322,110,3,3.5,2.5,8.67,1,Alta
5,314,103,2,2,3,8.21,0,Media
6,330,115,5,4.5,3,9.34,1,Muy alta
7,321,109,3,3,4,8.2,1,Media
8,308,101,2,3,4,7.9,0,Media
9,302,102,1,2,1.5,8,0,Baja
10,323,108,3,3.5,3,8.6,0,Baja
11,325,106,3,3.5,4,8.4,1,Baja
12,327,111,4,4,4.5,9,1,Alta
13,328,112,4,4,4.5,9.1,1,Alta
14,307,109,3,4,3,8,1,Media
15,311,104,3,3.5,2,8.2,1,Media
16,314,105,3,3.5,2.5,8.3,0,Baja
17,317,107,3,4,3,8.7,0,Media
18,319,106,3,4,3,8,1,Media
19,318,110,3,4,3,8.8,0,Media
20,303,102,3,3.5,3,8.5,0,Media
21,312,107,3,3,2,7.9,1,Media
22,325,114,4,3,2,8.4,0,Media
23,328,116,5,5,5,9.5,1,Muy alta
24,334,119,5,5,4.5,9.7,1,Muy alta
25,336,119,5,4,3.5,9.8,1,Muy alta
26,340,120,5,4.5,4.5,9.6,1,Muy alta
27,322,109,5,4.5,3.5,8.8,0,Alta
28,298,98,2,1.5,2.5,7.5,1,Baja
29,295,93,1,2,2,7.2,0,Baja
30,310,99,2,1.5,2,7.3,0,Baja
31,300,97,2,3,3,8.1,1,Media
32,327,103,3,4,4,8.3,1,Media
33,338,118,4,3,4.5,9.4,1,Muy alta
34,340,114,5,4,4,9.6,1,Muy alta
35,331,112,5,4,5,9.8,1,Muy alta
36,320,110,5,5,5,9.2,1,Alta
37,299,106,2,4,4,8.4,0,Media
38,300,105,1,1,2,7.8,0,Baja
39,304,105,1,3,1.5,7.5,0,Baja
40,307,108,2,4,3.5,7.7,0,Baja
41,308,110,3,3.5,3,8,1,Baja
42,316,105,2,2.5,2.5,8.2,1,Baja
43,313,107,2,2.5,2,8.5,1,Baja
44,332,117,4,4.5,4,9.1,0,Alta
45,326,113,5,4.5,4,9.4,1,Muy alta
46,322,110,5,5,4,9.1,1,Alta
47,329,114,5,4,5,9.3,1,Alta
48,339,119,5,4.5,4,9.7,0,Alta
49,321,110,3,3.5,5,8.85,1,Alta
50,327,111,4,3,4,8.4,1,Alta
51,313,98,3,2.5,4.5,8.3,1,Alta
52,312,100,2,1.5,3.5,7.9,1,Baja
53,334,116,4,4,3,8,1,Alta
54,324,112,4,4,2.5,8.1,1,Media
55,322,110,3,3,3.5,8,0,Media
56,320,103,3,3,3,7.7,0,Media
57,316,102,3,2,3,7.4,0,Media
58,298,99,2,4,2,7.6,0,Baja
59,300,99,1,3,2,6.8,1,Muy baja
60,311,104,2,2,2,8.3,0,Baja
61,309,100,2,3,3,8.1,0,Baja
62,307,101,3,4,3,8.2,0,Baja
63,304,105,2,3,3,8.2,1,Baja
64,315,107,2,4,3,8.5,1,Baja
65,325,111,3,3,3.5,8.7,0,Baja
66,325,112,4,3.5,3.5,8.92,0,Baja
67,327,114,3,3,3,9.02,0,Media
68,316,107,2,3.5,3.5,8.64,1,Baja
69,318,109,3,3.5,4,9.22,1,Media
70,328,115,4,4.5,4,9.16,1,Alta
71,332,118,5,5,5,9.64,1,Muy alta
72,336,112,5,5,5,9.76,1,Muy alta
73,321,111,5,5,5,9.45,1,Muy alta
74,314,108,4,4.5,4,9.04,1,Alta
75,314,106,3,3,5,8.9,0,Media
76,329,114,2,2,4,8.56,1,Media
77,327,112,3,3,3,8.72,1,Media
78,301,99,2,3,2,8.22,0,Media
79,296,95,2,3,2,7.54,1,Baja
80,294,93,1,1.5,2,7.36,0,Baja
81,312,105,3,2,3,8.02,1,Baja
82,340,120,4,5,5,9.5,1,Muy alta
83,320,110,5,5,4.5,9.22,1,Muy alta
84,322,115,5,4,4.5,9.36,1,Muy alta
85,340,115,5,4.5,4.5,9.45,1,Muy alta
86,319,103,4,4.5,3.5,8.66,0,Alta
87,315,106,3,4.5,3.5,8.42,0,Media
88,317,107,2,3.5,3,8.28,0,Media
89,314,108,3,4.5,3.5,8.14,0,Media
90,316,109,4,4.5,3.5,8.76,1,Media
91,318,106,2,4,4,7.92,1,Media
92,299,97,3,5,3.5,7.66,0,Muy baja
93,298,98,2,4,3,8.03,0,Muy baja
94,301,97,2,3,3,7.88,1,Baja
95,303,99,3,2,2.5,7.66,0,Muy baja
96,304,100,4,1.5,2.5,7.84,0,Baja
97,306,100,2,3,3,8,0,Baja
98,331,120,3,4,4,8.96,1,Alta
99,332,119,4,5,4.5,9.24,1,Muy alta
100,323,113,3,4,4,8.88,1,Alta
101,322,107,3,3.5,3.5,8.46,1,Media
102,312,105,2,2.5,3,8.12,0,Media
103,314,106,2,4,3.5,8.25,0,Media
104,317,104,2,4.5,4,8.47,0,Baja
105,326,112,3,3.5,3,9.05,1,Media
106,316,110,3,4,4.5,8.78,1,Media
107,329,111,4,4.5,4.5,9.18,1,Alta
108,338,117,4,3.5,4.5,9.46,1,Muy alta
109,331,116,5,5,5,9.38,1,Muy alta
110,304,103,5,5,4,8.64,0,Media
111,305,108,5,3,3,8.48,0,Media
112,321,109,4,4,4,8.68,1,Media
113,301,107,3,3.5,3.5,8.34,1,Media
114,320,110,2,4,3.5,8.56,0,Media
115,311,105,3,3.5,3,8.45,1,Baja
116,310,106,4,4.5,4.5,9.04,1,Media
117,299,102,3,4,3.5,8.62,0,Baja
118,290,104,4,2,2.5,7.46,0,Baja
119,296,99,2,3,3.5,7.28,0,Baja
120,327,104,5,3,3.5,8.84,1,Media
121,335,117,5,5,5,9.56,1,Muy alta
122,334,119,5,4.5,4.5,9.48,1,Muy alta
123,310,106,4,1.5,2.5,8.36,0,Baja
124,308,108,3,3.5,3.5,8.22,0,Media
125,301,106,4,2.5,3,8.47,0,Baja
126,300,100,3,2,3,8.66,1,Media
127,323,113,3,4,3,9.32,1,Alta
128,319,112,3,2.5,2,8.71,1,Alta
129,326,112,3,3.5,3,9.1,1,Alta
130,333,118,5,5,5,9.35,1,Muy alta
131,339,114,5,4,4.5,9.76,1,Muy alta
132,303,105,5,5,4.5,8.65,0,Alta
133,309,105,5,3.5,3.5,8.56,0,Media
134,323,112,5,4,4.5,8.78,0,Alta
135,333,113,5,4,4,9.28,1,Alta
136,314,109,4,3.5,4,8.77,1,Alta
137,312,103,3,5,4,8.45,0,Alta
138,316,100,2,1.5,3,8.16,1,Media
139,326,116,2,4.5,3,9.08,1,Alta
140,318,109,1,3.5,3.5,9.12,0,Alta
141,329,110,2,4,3,9.15,1,Alta
142,332,118,2,4.5,3.5,9.36,1,Muy alta
143,331,115,5,4,3.5,9.44,1,Muy alta
144,340,120,4,4.5,4,9.92,1,Muy alta
145,325,112,2,3,3.5,8.96,1,Alta
146,320,113,2,2,2.5,8.64,1,Alta
